τ_H,τ_M,τ_H_2,τ_M_2,T,τ_M_4
-0.01660809205222509,0.0802472778892287,-0.01653602807043386,0.07922046106434241,3.0,0.05775480725725973
-0.04850145216298512,0.034330199649107135,-0.048996126631903156,0.004014103903952674,2.99,-0.014841931203178577
0.03383093440066912,-0.008569381513936375,0.03387130096141983,-0.005676991254549374,2.98,-0.016507543342532658
-0.009847041695218006,-0.008167293854926441,-0.011315045887477023,-0.019923401374722604,2.97,-0.024475481332493703
-0.0018278399352748141,-0.021683584721338557,-0.0014304928552919057,-0.011304890824681661,2.96,-0.0011448755273630593
-0.06592757900738205,0.006360031795997117,-0.06595000285482129,-0.01831611369561805,2.95,-0.02141728466833264
-0.05580207897036112,-0.0017085314191736681,-0.056523374112767776,0.0065737476249241745,2.94,0.0042873618104377915
0.01689432778703361,-0.0024490835873227723,0.016250143832337704,0.011375156456043879,2.93,0.0200250975091704
-0.029937314956641415,-0.019399054670170352,-0.03244713130830377,0.0041957742846649125,2.92,0.035508109230764404
-0.02222720448390032,0.03971722804015147,-0.021354946597490383,0.019755531430690962,2.91,0.009561876356863765
-0.005496605941918572,0.0035467440657548383,-0.006421699138740012,-0.016039621331026887,2.9,-0.026651615974985162
0.0433836363597838,-0.05636831441837815,0.0430935613281278,-0.04133134970430881,2.89,-0.0017559281305950245
-0.008472320940301193,0.04223850514211862,-0.0100271711947255,0.016865389334931924,2.88,0.01475640280545208
0.07681268513128485,-0.020847413482961468,0.07668471392537198,-0.011920437861878838,2.87,-0.009195575152099907
0.05947178899039976,0.05149908632767119,0.05920651296524614,0.051425849187900864,2.86,0.026283106169644545
0.06590869776709139,-0.027953976448007768,0.06475006210175284,-0.05786224609973489,2.85,-0.05718925398142189
0.022613915399109768,0.009938833466906109,0.02279364807647421,-0.010693094884994687,2.84,-0.03150303552885127
0.09935873893655275,0.015260440379745879,0.09884794688964353,0.03207219215413168,2.83,0.03962923085133682
-0.017665429372305766,-0.002340730665727108,-0.016959172876031176,-0.009311402116647782,2.82,-0.02307273559319804
-0.04280804770255144,-0.03589966288208711,-0.04404953320540866,-0.03366115146918614,2.81,-0.03329783562363218
-0.010369626772156101,0.034557196572784506,-0.00940905763183801,0.036996455095659436,2.8,0.0036260544720998177
-0.01559437544187425,0.012435872171461564,-0.016113140156468513,0.04454617738476698,2.79,0.043515212711061284
0.03431985991431627,0.019358815147850435,0.03383243525778148,0.007974867395348242,2.78,-0.005847309496836569
0.032185370556425695,0.0654590081147426,0.030803077668899934,0.07293539444359025,2.77,0.07715485297583125
-0.017319826297440895,-0.008606151096351607,-0.015217970811081113,0.005943496951542885,2.76,0.01028935559577105
-0.004451693965439226,0.11697030431650536,-0.004521993738433283,0.17383352163240143,2.75,0.1623747113688891
-0.01117458471904733,0.05888680784054412,-0.011745884867078026,0.10100667128171825,2.74,0.15015949199237955
