H,std_H,M,std_M,H_2,std_H_2,M_2,std_M_2,T,M_4,std_M_4
-993.056,68.72058922465217,134.264,95.01004795921962,990878.016,137393.80703342817,27044.704,35106.70759622199,2.69,1.962664451776e9,5.589394449283343e9
-998.632,65.54211122892173,131.598,99.39360887645385,1.001557344e6,131204.4685275744,27187.244,37036.44023420293,2.68,2.109472443632e9,5.831561132063629e9
-1002.228,66.7831715929096,130.204,97.40619256674778,1.008916496e6,134765.5308118251,26431.56,36162.80015686819,2.67,2.005067731104e9,5.647142462110151e9
-1011.588,68.58575845073277,135.704,100.22073927376798,1.028009584e6,139751.79256309933,28449.728,38504.734998793894,2.66,2.290519025984e9,6.591462822891126e9
-1019.236,68.89820946343431,142.476,101.17427369473752,1.04358424e6,141097.0710494344,30525.408,39351.08867115547,2.65,2.478760204992e9,6.628224258257328e9
-1023.14,68.08823986863231,136.67,100.31180168632979,1.051446832e6,139886.446655513,28731.084,37953.36327485111,2.64,2.264492513904e9,5.9289210464306345e9
-1033.932,68.0375225921732,145.83,105.91846780340914,1.073639856e6,141508.0306272095,32473.892,44754.207844761906,2.63,3.05548984232e9,9.958782467945225e9
-1038.044,69.49114391836619,152.73,109.28248607055826,1.082359536e6,144553.91093182637,35257.172,44616.10692608283,2.62,3.23167457768e9,7.747201653616208e9
-1046.112,71.05138813391159,146.134,108.63102108855804,1.099393568e6,149550.85192242838,33144.044,44120.97022209965,2.61,3.043241006e9,8.008813556801376e9
-1049.824,71.01991870491581,153.816,112.24543278539747,1.107169216e6,149774.46691605795,36245.8,46644.83023242138,2.6,3.487322464864e9,8.714467040625568e9
-1060.332,71.94237611784506,161.528,120.9875001444,1.12947448e6,152920.64129889355,40714.632,54336.9251447555,2.59,4.607230191648e9,1.1848289103311132e10
-1069.056,69.75458813989633,161.04,115.37142178618136,1.147741568e6,149050.7563240326,39231.136,50119.74526055061,2.58,4.048558907968e9,9.958613477121286e9
-1080.12,75.53751065209597,178.098,124.60973469991012,1.172359424e6,163783.25334588025,47230.956,61441.34627775084,2.57,6.002027198064e9,1.6941466072000355e10
-1079.896,69.50744182077534,168.63,125.47445532433657,1.171001824e6,150846.22443801575,44164.172,58687.376571075416,2.56,5.391238049072e9,1.4238587841968601e10
-1094.224,73.04621532682972,180.516,131.19833362793423,1.202656576e6,160417.82883354294,49781.816,62947.78500429615,2.55,6.436690417568e9,1.440379345633627e10
-1096.776,73.04966856925552,178.698,126.39742523131198,1.208248512e6,161390.35154863144,47893.308,61188.97790139785,2.54,6.034115876784e9,1.5971642485649353e10
-1106.708,71.23952418289868,180.506,130.46170403693267,1.229872592e6,158798.90514510742,49585.652,64532.01678830177,2.53,6.61895369384e9,1.6908155820590195e10
-1117.484,75.2854411001333,199.318,138.12768778971918,1.25443272e6,169926.7422975367,58787.844,71619.35997577055,2.52,8.580213992784e9,2.06207418613161e10
-1128.848,76.69834112633421,204.51,144.83179260144558,1.28017456e6,174360.15610383858,62779.612,79147.53038345074,2.51,1.0199346917104e10,2.5529293255208534e10
-1134.24,75.36677351824578,205.988,147.6458165446727,1.292174848e6,172577.2888158576,64208.544,81425.73255767871,2.5,1.0746256895232e10,2.6415952078985275e10
-1145.012,77.48509402327518,211.91,146.69375910023902,1.317050416e6,178138.02183554872,66403.388,79185.93684727002,2.49,1.0673552119664e10,2.2610114204738e10
-1153.708,76.2415077467878,220.636,153.0671782749818,1.336849104e6,176693.1700875412,72086.376,88334.96893767409,2.48,1.2991709275296e10,2.9567598361420578e10
-1160.444,76.92828364668502,220.12,154.73086065565343,1.35254232e6,179729.612873141,72370.512,88761.81426456645,2.47,1.3108272019008e10,2.9308773480536877e10
-1174.908,78.4472402669814,250.644,166.23382010573823,1.386556624e6,185005.158167569,90428.464,101764.84225283035,2.46,1.8523034137024e10,3.859266273957073e10
-1184.116,81.33403819908222,252.134,171.79936281914746,1.408739312e6,195096.38316798158,93057.06,109440.28306272444,2.45,2.0624814797136e10,4.518025735413096e10
-1196.292,81.87665431930229,262.634,176.8339794844314,1.437811632e6,197237.58519986007,100215.604,111771.43142942639,2.44,2.2523527315984e10,4.3299821962083954e10
-1201.192,82.86435685889103,278.952,183.16179169777178,1.449721856e6,201086.26404685024,111328.912,121795.58024785698,2.43,2.7213455851648e10,5.1681234703182495e10
-1214.584,81.29134780053303,287.324,183.24183090275156,1.481815968e6,198778.63583977352,116099.072,123712.20032731065,2.42,2.8768398320576e10,5.25752728957379e10
-1225.516,84.56707002925745,301.71,185.38152607584775,1.509033904e6,209055.6969187038,125360.868,126828.68659554163,2.41,3.178477745352e10,5.475395143178984e10
-1239.392,87.25215914391619,311.482,195.88164103175492,1.543697856e6,219290.46091637498,135352.284,141556.3550111523,2.4,3.8338404226416e10,6.750383741049142e10
-1252.48,87.7577519255309,342.088,207.25782026273475,1.576399872e6,222037.5436380443,159937.048,154146.48506009494,2.39,4.931723704048e10,7.616293673129099e10
-1269.96,91.15623873251826,365.732,207.10688408992453,1.621099552e6,233688.91522597044,176610.264,161902.62719246445,2.38,5.737743358128e10,8.452957605862376e10
-1284.028,90.76914814106308,384.724,210.2990002199095,1.656958704e6,234320.00357253887,192194.0,165170.98663872905,2.37,6.4192707008384e10,8.71424518278358e10
-1299.132,97.74587885344751,413.948,221.0340909574027,1.697288656e6,256573.07035687516,220160.16,182505.165915555,2.36,8.1745323501504e10,1.0643076950072386e11
-1319.612,96.38358393031072,442.164,225.4166847990312,1.750656336e6,256681.0036887455,246270.872,192188.69356085506,2.35,9.7548899834336e10,1.1487627220452498e11
-1333.948,100.88408643039246,447.532,223.73847206030499,1.789584688e6,272094.7565847007,250293.736,194475.52114752104,2.34,1.00429861878112e11,1.2080231668009372e11
-1353.184,98.95375682605483,494.636,224.12352589333156,1.840888992e6,269119.7162507772,294845.896,202991.13042758653,2.33,1.2809829602128e11,1.3218455109940459e11
-1370.824,101.25772143471404,537.19,216.01077879716223,1.889401312e6,279413.9189352839,335187.092,206000.82529010347,2.32,1.547442903236e11,1.4426468836911008e11
-1394.496,100.92097416804411,555.956,216.9577579454875,1.954793952e6,282462.3513521494,356110.672,210392.93710985195,2.31,1.71035733510016e11,1.4906547779184375e11
-1409.072,102.11239766922407,584.712,209.53892148146517,1.995900416e6,288488.62143108895,385750.776,208158.6357622865,2.3,1.92090348809376e11,1.555367000295241e11
-1427.032,102.8652528127756,612.224,204.57996672887302,2.046991008e6,293652.2161251489,416629.336,211090.49611809265,2.29,2.18094641969632e11,1.6535744936086838e11
