H,std_H,M,std_M,H_2,std_H_2,M_2,std_M_2,T,M_4,std_M_4
-13370.016,245.57860777477464,338.51,252.6032309617046,1.78817576384e8,6.56532303198935e6,178333.604,242943.2933330795,3.0,9.0765296647376e10,2.5157315196674878e11
-13464.136,243.58815384310603,349.102,273.1369938573195,1.8134223408e8,6.5630414350883905e6,196401.42,282407.23666610423,2.99,1.1824761125208e11,3.455819301417479e11
-13521.124,243.18961699425782,367.24,270.42425867454955,1.82879876272e8,6.570403465645367e6,207921.368,274394.35865959193,2.98,1.18448267071136e11,3.18961413097675e11
-13601.772,237.2188120296971,357.388,275.66545103965586,1.85064418032e8,6.456242865185026e6,203641.632,289521.62364279,2.97,1.25208862069824e11,4.09873529456083e11
-13658.268,241.27573885112892,360.222,274.347993500112,1.86606440528e8,6.595214051657837e6,204951.444,289396.9802515804,2.96,1.2567195596424e11,3.961716518161542e11
-13736.46,247.1568143727599,376.39,275.97656234354935,1.88751358736e8,6.79356945323131e6,217756.332,290007.1054470141,2.95,1.3143783721464e11,3.654261691991306e11
-13799.184,251.72985135271912,377.906,263.0356609338797,1.90480783616e8,6.949930035479565e6,211931.516,276555.80208029994,2.94,1.21321596026672e11,3.9566394827014087e11
-13873.584,250.42238381245858,363.926,287.4184682651759,1.92538981664e8,6.950182976724124e6,214968.9,316411.0422299244,2.93,1.46227459664592e11,4.854700945812608e11
-13930.144,250.9177933168611,361.848,281.54414929812344,1.9411180864e8,6.997265256126584e6,210121.816,326021.781555329,2.92,1.503350894056e11,6.484300663074305e11
-14019.68,241.9310236828262,396.838,298.4887758447632,1.96609899392e8,6.784895773709394e6,246486.852,351624.63701107644,2.91,1.84272013676688e11,7.621777747368032e11
-14074.72,262.13982316101243,386.54,295.860226582881,1.98166391648e8,7.376448810908186e6,236858.912,340999.657697221,2.9,1.72266629976896e11,5.231303258716613e11
-14164.96,250.40604942690499,391.696,294.00084367239504,2.00708732288e8,7.094037352050529e6,239775.816,338008.69666403945,2.89,1.71628071079968e11,5.0734160985935895e11
-14240.18,239.25111639592552,375.258,290.734277056999,2.02839910288e8,6.813599514974515e6,225260.46,319382.1456255511,2.88,1.52645224828848e11,4.5572024174429407e11
