H,std_H,M,std_M,H_2,std_H_2,M_2,std_M_2,T,M_4,std_M_4
-3349.024,117.4391049325878,173.864,134.13577416151853,1.1229739904e7,786837.7507040619,48203.104,68385.8303854438,3.0,6.995484410944e9,2.202056942508632e10
-3367.016,120.03733046308845,170.286,126.32669011985011,1.1351191296e7,810623.9026912635,44939.796,62267.22718891681,2.99,5.892915638736e9,2.010315332988264e10
-3381.688,120.5858183850638,179.654,131.8464097340529,1.1450340128e7,814701.9193477407,49641.652,66372.74805698144,2.98,6.86522995624e9,1.8787313518188644e10
-3391.596,120.40377840356112,180.664,140.70939641061017,1.1517406e7,817638.6320635118,52418.816,75093.84264436892,2.97,8.381178388736e9,2.5088798883652046e10
-3415.3,124.65668569831819,186.338,136.7113592637852,1.167979784e7,852190.0778969584,53393.156,72580.67604732784,2.96,8.113515688592e9,2.4699025012639996e10
-3429.672,121.58046811156069,171.622,135.27983497088454,1.1777417056e7,834699.3028659853,47736.444,72645.25981039494,2.95,7.550824524912e9,2.724994799334637e10
-3455.336,126.05507123866532,183.424,135.2871421637505,1.1955220864e7,873527.0538709662,51928.672,71057.6615029138,2.94,7.740729042688e9,2.389912251848048e10
-3466.944,121.97509084557711,192.896,140.86720254464043,1.2034563744e7,847035.4286541466,57032.592,74910.32050268742,2.93,8.858661111936e9,2.4619303833745136e10
-3487.304,126.24127868666592,188.438,142.4415309723458,1.2177210112e7,881430.571921379,55778.18,79173.74389992388,2.92,9.37341860552e9,2.9773327620784996e10
-3497.808,126.51767409282333,189.83,140.62502799465852,1.225065152e7,884583.1833915072,55791.052,75656.18086530949,2.91,8.830775328688e9,2.4263631407254345e10
-3518.604,125.13863856884038,189.526,142.08287323554117,1.2396218128e7,881812.6571700324,56087.46,82418.45404623754,2.9,9.931811935056e9,3.500577414245448e10
-3540.48,123.00238691662527,189.138,145.63947202531259,1.2550113088e7,871602.5476580459,56962.828,79563.53867082736,2.89,9.568790102896e9,2.6872270302519367e10
-3556.932,124.73954998849135,197.298,143.67363470487308,1.2667309648e7,889329.7030259589,59547.972,80118.10150579024,2.88,9.958452248016e9,2.739110836454572e10
-3573.916,126.22350540734209,196.428,150.7144175308111,1.2788792016e7,902916.6286695532,61276.08,90391.04420099009,2.87,1.191712831104e10,4.004420801103683e10
-3592.768,126.68816861912589,200.384,151.99961982988125,1.2924015744e7,910302.8614365672,63234.528,90850.31705123282,2.86,1.2244131859584e10,3.872265293931656e10
-3614.664,126.44415062480047,201.702,153.9789359253684,1.3081767968e7,914813.4581763494,64369.5,89130.32969775233,2.85,1.2079703986608e10,3.445686730247861e10
-3628.512,127.27998291188622,210.206,154.6487562245549,1.3182283328e7,926389.2037291703,68078.884,92671.38023893858,2.84,1.321413117736e10,3.688687937049043e10
-3651.72,130.68021624912825,206.44,151.66703428658877,1.33521192e7,952288.4831631711,65597.36,86313.46709523608,2.83,1.1745578226368e10,3.0362849588644444e10
-3678.908,128.51588177290722,218.878,165.60696477739933,1.3550863888e7,947901.9538707723,75305.82,104912.98718263238,2.82,1.6666694670576e10,4.977889856987953e10
-3691.612,124.1584180342548,221.072,161.46576730071925,1.3643399056e7,917387.53787903,74917.952,101887.18576589004,2.81,1.5983317156544e10,4.638127339780685e10
-3721.96,130.7039169799969,222.438,174.60076054124616,1.3870052672e7,974575.3579103067,79933.604,119982.06804598667,2.8,2.0770682004368e10,6.986154157461722e10
-3740.928,133.06520644092194,217.0,161.10742876603675,1.4012230944e7,996936.9317952897,73018.648,98885.50195516541,2.79,1.5100287110176e10,4.308260596102248e10
-3760.108,125.8036203250403,217.472,164.01477391400465,1.4154222896e7,947932.6463734573,74168.016,103635.06825338434,2.78,1.6230381741888e10,5.3040534971913315e10
-3785.66,133.23220038421346,225.406,168.1224682436239,1.4348954704e7,1.0121706817887352e6,79044.764,106282.07262138335,2.77,1.7532657797552e10,4.420975353245693e10
-3807.204,131.49832772394558,230.66,176.68228272531752,1.4512076816e7,1.00477761867404e6,84389.448,121334.60301160291,2.76,2.182894273584e10,6.911171295646965e10
-3821.764,127.86445018699148,234.032,175.80690271727966,1.462221304e7,979645.9240753731,85648.136,120786.08487368326,2.75,2.1910292221088e10,6.93796507092179e10
-3852.5,132.7417129705744,229.842,174.02201785607102,1.4859358992e7,1.0238904648524664e6,83080.724,117232.82675753148,2.74,2.0632198834256e10,6.2565171980651794e10
-3871.608,131.18951568256142,240.374,181.45701080633606,1.5006541984e7,1.017413198275293e6,90673.38,126967.08651527678,2.73,2.4326182257744e10,6.789647787965821e10
-3886.56,131.33008029385346,233.588,175.56835279315723,1.5122578976e7,1.0197433342718154e6,85356.776,116106.9435537221,2.72,2.075312072816e10,5.720474038072772e10
-3920.432,133.41188893088992,247.218,187.27381011758146,1.5387568e7,1.0468249787879033e6,96153.148,136593.60751962487,2.71,2.788458367192e10,8.600650355267812e10
-3955.464,127.75502358048415,250.104,180.25500006670842,1.566200048e7,1.0109075346529196e6,95011.384,126586.15764798546,2.7,2.5035194342368e10,7.183507686310793e10
-3975.944,137.70815662262132,244.87,183.34961188990877,1.5827075264e7,1.0956621341753907e6,93544.78,124728.21094317311,2.69,2.4292195343728e10,6.5430350361978935e10
-3996.308,130.10660576951835,259.86,202.44652873536015,1.5987388432e7,1.0413708869636933e6,108470.832,155082.37013138967,2.68,3.5792412378816e10,1.0484973855928168e11
-4023.14,133.5284323364962,263.374,197.31828762339953,1.6203467472e7,1.074051003020148e6,108261.436,147925.55893214428,2.67,3.3580627539184e10,8.948812637426372e10
-4048.784,137.72675122140214,267.554,197.76779612764355,1.6411601568e7,1.1165310609680037e6,110658.132,145991.05974019997,2.66,3.3537298312272e10,8.816631534020427e10
-4076.508,140.62767180778496,268.636,209.21353160301513,1.663767384e7,1.1481173100097873e6,115891.832,164967.08405296106,2.65,4.0617841406432e10,1.186026127084262e11
-4103.848,142.10591467981544,282.878,211.57596627572212,1.6861742304e7,1.1696840486661121e6,124739.588,180936.72491979887,2.64,4.8265325140688e10,1.5792661599718643e11
-4127.028,140.32628649929663,289.96,217.23006076346638,1.7052031888e7,1.1606620558952785e6,131218.512,184367.75124051207,2.63,5.117577412128e10,1.509619380552466e11
-4152.564,131.5332615839161,307.006,227.63757780918078,1.7261071472e7,1.0930546464151088e6,146019.732,199320.10138502417,2.62,6.1010536446672e10,1.8428841995608154e11
-4184.636,140.25926052907937,314.36,229.6453251764019,1.753083144e7,1.177450641492409e6,151506.448,197917.91809169034,2.61,6.2086534585024e10,1.6514506673091083e11
-4213.424,145.65632148309933,307.678,232.65026641390824,1.7774136352e7,1.2276572204812204e6,148737.772,209764.10716137599,2.6,6.607990449208e10,2.2252284289865775e11
-4231.824,146.19142572995503,330.782,250.39943361028665,1.7929684928e7,1.2353990824752524e6,172053.908,242409.6083585634,2.59,8.83062030644e10,2.719732724372598e11
-4263.492,142.7716978034992,297.284,231.22214215559683,1.8197727408e7,1.221391478977472e6,141787.992,210554.17226152672,2.58,6.4392561072672e10,2.5094534509817496e11
-4293.22,140.57351284119105,329.72,252.47342916123358,1.845147912e7,1.2109458005346737e6,172394.368,245601.72088259697,2.57,8.9979703213312e10,3.0375579507961194e11
-4332.256,142.3583378673703,335.262,262.09777297527467,1.878868768e7,1.2354863647988597e6,181027.156,270164.09384332673,2.56,1.05686480174032e11,3.596317888158945e11
-4369.06,139.3632753723969,349.026,256.80745587578525,1.9108087984e7,1.2183573386353145e6,187703.268,265221.12217071565,2.55,1.05504418219728e11,3.6985738087991205e11
-4389.332,142.78377001949832,368.932,271.91610055629616,1.9286602224e7,1.255046622507008e6,209975.248,280085.8226689359,2.54,1.22459224764736e11,3.3049124165985767e11
-4428.664,147.9787579918713,362.592,274.3250914367692,1.963494064e7,1.3117048066207727e6,206651.96,296637.08988441335,2.53,1.3061060210384e11,4.946824230802406e11
-4464.584,148.88546546196451,386.368,291.3819761619308,1.9954655008e7,1.3311624254924788e6,234098.784,327843.81716205773,2.52,1.62176327553216e11,4.7386102729718945e11
-4487.94,148.39110593401588,389.202,283.91663539118633,2.0163603344e7,1.334519530455392e6,232006.244,307635.7410915471,2.51,1.48372006702736e11,4.208099682243865e11
-4529.224,150.26235922745457,415.926,308.4645537252294,2.053642624e7,1.3610289231945963e6,268049.668,365607.65471757535,2.5,2.05385912745808e11,5.788637218682599e11
-4569.948,150.61716644136828,428.922,316.9812344903386,2.0907087568e7,1.3769510537216226e6,284350.708,389545.267739066,2.49,2.32449095242384e11,6.936672354016306e11
-4608.984,146.5436275611423,436.256,320.73003323389935,2.1264187072e7,1.3513912556816223e6,293084.184,388032.55898873415,2.48,2.36317036479456e11,6.319573109099398e11
-4631.724,150.20627733137437,443.848,325.42999489533474,2.1475406576e7,1.3939297079339493e6,302799.824,400753.9555959378,2.47,2.52130862607296e11,6.539668376545033e11
-4677.432,156.03894875808902,483.46,364.85606524813085,2.190269392e7,1.4597118645061257e6,366720.4,514058.1193848275,2.46,3.9847534613152e11,1.281959779810925e12
-4725.424,155.45832726333933,496.114,359.58425416005053,2.2353775104e7,1.473070181414491e6,375300.636,489375.3654942228,2.45,3.80099327486256e11,1.1117373951604094e12
-4761.032,158.56046290420696,512.532,369.2022254256592,2.2692541984e7,1.511499018692515e6,398863.024,510259.8648345727,2.44,4.1919647644576e11,1.0687336481275756e12
-4799.64,158.37927387885824,544.766,394.7229603905244,2.306160304e7,1.5239235207508437e6,452420.404,591596.8463584047,2.43,5.54321063748112e11,1.5136928299511313e12
-4846.868,164.97097319831147,577.814,443.9318922187602,2.3519317616e7,1.6023877405560766e6,530747.468,733114.1140127488,2.42,8.18611722648944e11,2.1858395223999487e12
-4889.78,163.84034686016525,618.784,433.17214066401766,2.3936765264e7,1.6073001974381013e6,570344.104,718338.5385978787,2.41,8.40786642746464e11,2.2041466365863276e12
-4932.296,162.17997017735183,657.348,476.35602017183953,2.4353819872e7,1.6042068706758646e6,658794.536,831615.9818048002,2.4,1.124903796715424e12,2.617328591489903e12
-4981.512,166.51996503349008,698.308,488.340345895595,2.4843162976e7,1.662209958532723e6,725871.88,900603.9744849429,2.39,1.337166417513952e12,3.2189958781026123e12
-5034.904,170.9812661591245,766.798,528.6594821281882,2.5379463648e7,1.7255904516131326e6,867180.54,1.0414633655470428e6,2.38,1.835563384789488e12,4.06574501468186e12
-5083.344,176.57577599622397,803.726,536.8580459353155,2.5871534048e7,1.797718338764395e6,933903.828,1.0883660582197807e6,2.37,2.055532495961232e12,4.560191552857348e12
-5129.072,177.0584324580575,867.968,602.9224248826929,2.633869792e7,1.8277627354623077e6,1.116520384e6,1.3476139975580764e6,2.36,3.060865190815552e12,7.009672027475421e12
-5195.6,174.6955939643314,971.182,659.9184883660157,2.7024747392e7,1.8206691633155693e6,1.378251396e6,1.5526630378213234e6,2.35,4.307928657083472e12,8.310902228825715e12
-5260.244,193.96901929030943,1110.568,704.355087626593,2.7707753296e7,2.0511288705779063e6,1.728981256e6,1.8013342392544376e6,2.34,6.230936420068192e12,1.1053338380917223e13
-5315.5,188.92140507972437,1216.456,732.3565211958845,2.8290195856e7,2.0143959192944134e6,2.015574928e6,1.9452416951119562e6,2.33,7.84272357753184e12,1.223098216032868e13
-5383.712,199.79596463263084,1349.866,780.751893730373,2.9024233408e7,2.1584564832513095e6,2.431102164e6,2.2222662228282425e6,2.32,1.0843786429763664e13,1.5664037015456041e13
-5466.096,202.09598108218177,1565.69,808.8349459994108,2.9919007424e7,2.213205735431341e6,3.104944932e6,2.46603575215842e6,2.31,1.5715934029345104e13,1.8919394037074656e13
-5552.252,210.90020244511712,1810.134,788.5791140165095,3.0871936688e7,2.344798043382186e6,3.89782026e6,2.6278252600686452e6,2.3,2.2091562911123855e13,2.289421293011783e13
-5644.132,225.96336432709177,2011.928,791.3769014927186,3.1907234416e7,2.5514990787490145e6,4.6735054e6,2.784446529273477e6,2.29,2.9587042055737887e13,2.6434928171822434e13
-5733.244,209.1478407330166,2240.688,730.8704414998996,3.291378584e7,2.40111367516752e6,5.554320144e6,2.724488901424103e6,2.28,3.826588919625331e13,2.8240230024376094e13
-5827.3,209.29811203090125,2440.156,668.1396397776758,3.4001187184e7,2.437243503211866e6,6.400325472e6,2.6591669692915045e6,2.27,4.8028263949132414e13,3.0048803225871434e13
-5917.06,209.34487736192082,2642.006,538.9195842445163,3.5055380496e7,2.4678012918107454e6,7.270339588e6,2.376596469820949e6,2.26,5.850040029442504e13,3.0317460974548254e13
-5993.416,204.92462283738632,2763.472,507.537107146986,3.5962987456e7,2.449988033664649e6,7.894113816e6,2.298705815672419e6,2.25,6.759579731854128e13,3.0887695231785535e13
-6083.424,190.82142710146846,2927.176,357.1592190210575,3.7044423968e7,2.312059018781012e6,8.69579448e6,1.849689054510523e6,2.24,7.903476988717612e13,2.8833292780155645e13
-6145.82,188.4403071249603,3009.602,337.2638974638889,3.7806577712e7,2.311411879098737e6,9.171337388e6,1.767601085562888e6,2.23,8.723471866861208e13,2.8483122957920734e13
-6208.56,175.780844534623,3079.436,296.653422628422,3.857708528e7,2.1756076850680946e6,9.570841328e6,1.5952690786324085e6,2.22,9.414334227556025e13,2.6891710538263445e13
-6273.572,175.96607876768994,3144.484,257.0253757662612,3.9388638736e7,2.2007478051903225e6,9.953775608e6,1.4513474591875349e6,2.21,1.011819518922586e14,2.5999437267799855e13
