H,std_H,M,std_M,H_2,std_H_2,M_2,std_M_2,T,M_4,std_M_4
-110.388,25.737752191826853,23.318,17.24262695137212,12847.28,5747.360416866281,840.74,1128.3810456508852,5.0,1.978814288e6,5.716492189571696e6
-108.14,24.48877498161352,20.154,15.583296285546359,12293.36,5322.523839159241,648.78,953.5523297887985,4.99,1.329268272e6,4.858006337945104e6
-110.644,24.732912909339678,22.604,16.50319785797709,12853.2,5497.785102478364,783.024,1044.6578413190748,4.98,1.70334528e6,4.688086503127651e6
-109.5,25.000300298496718,22.458,16.298830874878355,12614.64,5643.50319417848,769.748,1015.4930519873757,4.97,1.622706896e6,4.597513038445636e6
-110.24,25.108341817587814,21.024,16.056189623482442,12782.656,5589.8538818187435,699.552,1035.7027679404548,4.96,1.560980544e6,5.850299156879644e6
-110.5,24.758897451280074,21.736,16.40803240877856,12822.64,5618.176519281127,741.408,1062.1980277642142,4.95,1.676822208e6,5.752244359884907e6
-111.604,25.435607996549923,21.844,16.581514122980767,13101.776,5802.966157237698,751.832,1062.5431726615957,4.94,1.693120352e6,4.996957930135055e6
-110.28,25.71612177057262,21.742,16.69803162831656,12822.336,5906.422916687796,751.26,1051.7856328251578,4.93,1.669538352e6,4.656504907167291e6
-112.168,23.579987103299953,21.658,16.096276778377234,13137.12,5337.371998788679,727.9,1019.1964596795962,4.92,1.567561072e6,4.73834656421486e6
-113.528,24.4082973798047,21.112,16.164676079425558,13483.776,5744.775392836358,706.752,1000.906149254572,4.91,1.500309696e6,5.073908406495717e6
-110.952,25.37450613433809,21.214,16.461871011437225,12953.568,5756.4868920822455,720.756,1022.6649304752873,4.9,1.564286928e6,4.448091376934833e6
-112.248,25.657841312566045,21.192,15.802685242099228,13257.28,5797.840149572944,698.576,973.6238594260328,4.89,1.435003904e6,4.514575169467071e6
-111.468,25.157063696978906,22.586,17.06997328609474,13057.36,5781.148624089664,801.22,1160.5400280717406,4.88,1.987459792e6,7.147879264937506e6
-113.424,25.100323708076964,22.458,17.40831081079624,13494.4,5764.617701916515,807.108,1178.621982704427,4.87,2.039183952e6,7.4237903982846625e6
-113.524,25.26776372938222,22.944,16.23861313525747,13525.52,5901.111309939198,789.856,1021.3552926860946,4.86,1.665995968e6,4.611145844965016e6
-114.692,25.303307953573853,22.754,17.375885744485238,13793.872,5868.231498887935,819.364,1160.0526150022567,4.85,2.015733712e6,6.083059040359444e6
-113.408,24.592647973212124,22.044,17.19551539645584,13465.568,5743.637852542337,781.328,1181.1182755324703,4.84,2.004118784e6,7.158931028836259e6
-113.94,24.475036821778787,22.916,16.983797967280267,13580.752,5715.20416162932,813.304,1078.7149268817395,4.83,1.823925664e6,4.641032362119961e6
-114.532,24.690212283060315,21.85,15.717905476002601,13726.576,5680.848742103124,724.228,965.1643851211596,4.82,1.455116944e6,4.120096760826884e6
-114.308,25.456023749697152,21.624,16.683913718818403,13713.68,5917.623005196567,745.672,1067.97291846309,4.81,1.69545232e6,5.3034351633272255e6
-114.632,25.75406468594517,20.886,15.71986380723822,13803.104,6035.172065404851,683.092,948.8286227192407,4.8,1.36599016e6,3.8314387152955164e6
-115.452,25.391818376013173,22.232,16.96614352249874,13973.264,5968.3118910738185,781.824,1103.1836361908017,4.79,1.827045888e6,5.506572178185945e6
-115.448,25.633110469709916,21.6,15.804106104736507,13984.64,6063.306821860165,716.08,946.9856891714338,4.78,1.40865568e6,3.777075727687898e6
-115.928,26.0915999430389,22.506,17.3193511403841,14119.392,6127.463911629698,806.18,1149.8807805200543,4.77,1.970829776e6,5.783867998686419e6
-117.284,24.426624899973476,21.51,16.79970625130482,14351.6,5787.185592763123,744.628,1076.8049751791502,4.76,1.712820304e6,5.125684483191255e6
-116.232,24.633168066023686,21.82,16.87852139508922,14116.064,5775.150123317216,760.712,1049.2212608931973,4.75,1.678447136e6,4.415526896993786e6
-117.884,25.182468121705245,22.33,16.69868096425421,14530.16,6069.871143121087,777.196,1074.86132708199,4.74,1.758205168e6,5.318194298459792e6
-117.688,25.15789290810293,23.71,17.626985295580486,14482.752,6056.278902150779,872.564,1181.46928846398,4.73,2.155841744e6,6.197039093791573e6
-117.204,25.415198529941023,22.364,17.543297046771777,14382.064,6178.890636789537,807.608,1210.2554658536471,4.72,2.115484256e6,7.250517609039577e6
-115.288,25.484397393513365,23.152,17.527010358075678,13940.128,6010.972009926525,842.904,1248.4421775375322,4.71,2.267536416e6,8.837046775859432e6
-117.544,25.727922379974448,23.426,16.845601749367646,14477.856,6238.911391790929,832.268,1065.4939086852844,4.7,1.826812016e6,4.662657975117506e6
-116.736,25.871057489318364,21.176,16.304442917771183,14295.936,6166.813459165449,713.992,1029.3593641856262,4.69,1.568305696e6,5.08812840041778e6
-117.896,25.452013456482945,22.774,16.308736888517732,14546.624,6066.911133462012,784.364,991.7266141337448,4.68,1.59776504e6,4.0215031023332393e6
-119.18,25.219270639961255,21.332,15.157292618390644,14839.248,6064.4598998074325,684.568,885.496908040988,4.67,1.251954016e6,3.2502689802953964e6
-120.264,25.48481468992427,23.322,17.84687162577315,15112.256,6258.691069254367,862.108,1217.6835144968818,4.66,2.224500592e6,6.846161275271215e6
-118.312,25.440870541195995,23.304,17.887301069181444,14644.32,6057.035797504605,862.712,1247.645327775454,4.65,2.29933424e6,7.599928319219549e6
-121.66,26.521157059445425,24.136,17.475207778074825,15503.824,6653.309822081985,887.624,1180.87766457101,4.64,2.180953952e6,6.446791760607698e6
-118.98,26.228830541058283,23.68,17.866639774082223,14843.504,6313.49278998505,879.64,1208.3141667321152,4.63,2.232329632e6,6.300930678434245e6
-120.112,25.43372427172887,23.328,17.948553327958397,15073.12,6232.0219854897505,866.024,1235.9345021147024,4.62,2.276004128e6,7.116103384386692e6
