τ_H,τ_M,τ_H_2,τ_M_2,T,τ_M_4
-0.0012362635725526613,0.0009063432840865531,-0.004820738835797843,-0.00266923921748738,3.0,-0.0011417473851266402
-0.023918184368873205,-0.03740282609439689,-0.022517520512881733,-0.004108621279072505,2.99,0.040325640502834756
-0.017750336175092616,0.024304200470512086,-0.01736341857800435,0.027008262475644453,2.98,0.03315704416991773
-0.010914273629390752,0.04947566778091563,-0.011525235471330322,0.06337309170790953,2.97,0.0594321669140574
0.027096748222393004,0.03908944603236499,0.026250588638305906,0.012513229380941031,2.96,-0.010256042320275972
-0.030733734004709988,0.048920481201798406,-0.032923576764606284,0.0557927421693141,2.95,0.024953492639656658
0.043442606560541094,0.03442642514566109,0.04411770544264203,0.025859828704429218,2.94,0.011269944991955515
-0.013457119751772066,0.019843267996807572,-0.011648448681971365,0.043648911332238076,2.93,0.028713010490186874
-0.0068493269047077004,-0.0034321337259062604,-0.004875696998317415,-0.017841964788106346,2.92,-0.01757737863746674
-0.010763444378997164,-0.026015450189437104,-0.009849339268565582,-0.0445951997166241,2.91,-0.03530830095455138
-0.010763388797499194,0.02076196787702788,-0.008376199059473134,0.000836245661676436,2.9,-0.015026546674678964
-0.027297223503628877,-0.01608339325809167,-0.031254607814410924,-0.035888132586769324,2.89,-0.03395795220335972
0.009099782175636251,0.012274343104551784,0.010710674563025683,-0.0009166901915059284,2.88,-0.014996546991945185
0.022993431310712017,0.04560734806263952,0.022586761799766247,0.04421306143643765,2.87,0.04052380183972459
0.0030180461135265314,0.016894711884153854,0.0018367651799086882,0.014064599571322882,2.86,0.013346166428339414
0.02442752921800205,0.011851663015625213,0.02389939424602608,0.01053385744152377,2.85,-0.003797346796017342
0.07546261729886221,0.05580864088337223,0.07745698831187774,0.06008109339808624,2.84,0.034988649000517916
-0.023750856740104898,0.012455885148221005,-0.02328440527117632,0.0123335787560969,2.83,0.002254369745737056
-0.008122837030920734,0.016806136179708626,-0.008460256020817762,0.026920566374028555,2.82,0.043164716157104516
0.013036510111462498,0.006130852567514248,0.014378214778957146,0.009558321549246837,2.81,0.004997830503781044
-0.02280513638380658,0.023205676383211547,-0.021683169895798358,0.03203018430714067,2.8,0.017659345773280193
-0.03145925625297017,0.111629558780211,-0.03268990644522897,0.10440208977662498,2.79,0.03559087511297851
-0.015097871467155596,0.041627396593453075,-0.016576189259320157,0.04005441458802148,2.78,0.04037373169371872
0.02333647598049594,0.04501299739657505,0.02361056941010781,0.04416500000395237,2.77,0.04558656311907561
0.003232328458234342,0.039602972086860824,0.008525497959610374,0.029808967066056777,2.76,0.004314936197473049
0.040826681410182794,0.11999649580215163,0.044889705449762334,0.13714142373221627,2.75,0.10519017772226928
-0.010845436319034748,0.023978941074748236,-0.01333289427845936,0.028737286446151856,2.74,0.018157962657905414
-0.0274353786047171,0.054510784431872246,-0.026982388522566524,0.07151815116010975,2.73,0.037255888307426696
-0.024733327971087044,0.0801157538358817,-0.022878478355273398,0.09945244840812595,2.72,0.07503367559096631
-0.05293118318172153,0.0317175280008457,-0.051863571156612776,0.053228585176439795,2.71,0.06043158415784761
-0.004576302324706953,0.1588209417047763,-0.005469774581852412,0.1627832265268602,2.7,0.10813892457471523
0.011963084892526375,0.12065480443177998,0.011511967530750972,0.134838164313781,2.69,0.08119862756220282
0.026025927715115846,0.10932873578398346,0.02861889395841518,0.09383501945087415,2.68,0.04881061408880283
-0.04688866354533803,0.07551853113475471,-0.04696035044973941,0.07811937867026816,2.67,0.059035214332319653
-0.03423359148477768,0.1419833137587711,-0.035320877085809235,0.12721885001701894,2.66,0.047851744974759684
0.03020929277712631,0.14265873036192098,0.02883223248803878,0.11750107142128996,2.65,0.04230546303832773
0.039035999030679204,0.1905100242469199,0.03436073938457509,0.20256278683443038,2.64,0.16944380473776452
0.06796832301228525,0.13206366648796744,0.07397082057250945,0.19648298338919407,2.63,0.2337881369715195
0.002441958391149846,0.1749041656374141,0.0072445099755696005,0.19879389173005577,2.62,0.1452318342151321
0.02914705806115096,0.15484070609625958,0.02870036187445296,0.16541984773454002,2.61,0.115572288429568
