H,std_H,M,std_M,H_2,std_H_2,M_2,std_M_2,T,M_4,std_M_4
-6.576,6.686174461448709,5.102,3.665382794611093,87.904,138.1945893605409,39.452,48.48078054324292,5.0,3904.496,8853.271131718251
-6.656,6.637900701707261,5.278,3.5921608565903083,88.32,128.06965071958086,40.748,47.519117863893094,4.99,3916.208,8145.758076654339
-7.1,6.8273430126669785,5.372,3.804745995739017,96.976,150.79616343563552,43.32,51.79664557181761,4.98,4556.832,9898.001411786307
-7.164,6.760088964118948,5.496,3.7437948661752283,96.976,140.22983930616132,44.208,50.37585197753445,4.97,4489.536,9145.499231693198
-7.492,7.0631313044444965,5.834,3.8708432450084342,105.968,156.51775868822293,49.004,54.47545832353831,4.96,5366.0,10301.896319988267
-7.508,7.256624187223327,5.522,3.9607074119660997,108.976,176.44953347023014,46.164,56.485570933856394,4.95,5318.544,11515.525609981427
-7.396,7.021430373113762,5.588,3.909672817710139,103.952,153.4749499307827,46.496,53.820987381157195,4.94,5055.68,10127.169923935722
-7.624,7.079317816056907,5.624,3.9832763512579055,108.192,161.3122213868768,47.48,55.147101490493604,4.93,5292.512,10593.479254927563
-7.732,6.9806092072902155,5.78,3.9495821550132626,108.464,163.021055598866,48.992,55.51837737385908,4.92,5479.424,10800.824469522939
-7.568,7.141454780111429,5.486,3.8401237676083504,108.224,166.2678646847515,44.828,54.554510451571375,4.91,4982.768,10901.164106876891
-7.544,6.9328297345404435,5.654,3.855794490264121,104.928,154.22169480052784,46.82,52.973859872864,4.9,4995.536,10090.857182984575
-7.48,6.697944644625131,5.446,3.844979566638536,100.768,148.6670645168999,44.428,52.69734173396061,4.89,4748.08,9748.079495338938
-7.468,6.861199024372638,5.552,3.8830882522000922,102.8,150.55729640073736,45.888,52.89689534875877,4.88,4900.992,9875.486043356472
-7.696,7.064665136685072,5.666,3.9400466961659184,109.088,162.03777490602772,47.612,54.7648120661492,4.87,5263.088,10597.436426375347
-7.716,6.959294200978703,5.614,3.7869968768597295,107.92,162.3356845381646,45.844,52.958817021345006,4.86,4903.504,10497.363678094329
-7.832,6.789541506896757,5.784,3.8502166391215145,107.392,156.70934929402313,48.264,54.15251424263511,4.85,5258.976,10420.823374725782
-7.452,6.576240791131582,5.534,3.80543365798503,98.736,148.62962379374133,45.092,50.97181242276619,4.84,4628.816,9602.850326258997
-8.164,7.093054025976076,5.964,3.919957916874884,116.912,163.41873190652882,50.92,55.32571314076787,4.83,5650.72,10714.143483834452
-7.784,7.184773132463193,5.674,4.012209094977707,112.16,175.03559597938894,48.276,56.63874797143536,4.82,5535.312,11461.78094001857
-7.364,6.949806026343745,5.494,3.815038468812407,102.48,154.08732752729702,44.724,52.88978306963599,4.81,4794.768,10077.038713004902
-7.924,7.360461969224512,5.71,4.020953626699526,116.912,175.04793067624092,48.756,56.690336550934816,4.8,5587.728,11371.011479551154
-8.188,7.288468822583915,5.948,4.0345475054302655,120.112,177.60083759237594,51.64,57.92956269672883,4.79,6019.168,11664.59343207948
-7.42,6.701381089634323,5.414,3.8318777756195836,99.92,148.83225672091598,43.98,51.931266655613726,4.78,4628.4,9601.100362363068
-8.068,7.058413220915676,5.882,3.99775662816761,114.864,165.28834726544318,50.564,56.15281865626198,4.77,5706.704,10860.33874969571
-8.184,7.236747509379782,5.828,4.0341902149862365,119.296,179.99439537487376,50.224,57.83284933722756,4.76,5863.744,11835.752415529218
-7.4,6.657651562249583,5.414,3.8672418542883453,99.04,144.66659193754035,44.252,51.63559557834817,4.75,4621.808,9524.744608596862
-8.448,7.081910014215759,5.958,4.037144353938131,121.472,166.57677220139982,51.78,56.70823064973394,4.74,5893.776,10917.24573013524
-8.204,7.36455162386826,5.998,4.033393641124587,121.488,184.51291247734096,52.228,58.65025036492057,4.73,6164.176,12138.380474246207
-7.892,7.071516268972475,5.724,3.967311881307488,112.24,166.0893496647876,48.488,56.18831713962416,4.72,5505.056,10957.055447379142
-7.948,7.246641277847954,5.754,4.076285085724514,115.632,173.73626237738873,49.708,57.90063228686902,4.71,5820.016,11542.797606834158
-7.704,6.920713856263692,5.634,3.8694982900909793,107.2,164.14100727810302,46.7,54.396810687879615,4.7,5136.944,10770.474065539567
-8.212,7.427127184734231,6.056,4.067112662000575,122.544,179.73128664592426,53.2,58.157495598540834,4.69,6209.152,11776.897937824455
-8.12,7.036128701715676,5.78,3.9302731517093132,115.392,166.11579332740402,48.84,55.30034835811189,4.68,5440.416,10844.807067129745
-8.724,7.331683134013469,6.196,4.08929166314978,129.808,179.33842144227046,55.096,59.24623955071662,4.67,6542.176,11846.963674686158
-8.448,7.328642780556643,6.09,4.008486992366069,125.024,182.41500667066478,53.14,58.24332309101777,4.66,6212.752,11917.81734163956
-8.248,7.314095432245329,5.832,4.041300299174525,121.472,178.68946006728862,50.328,58.49651492403848,4.65,5951.328,11916.481861034339
-7.716,7.0847397649834365,5.694,3.9127578092278688,109.68,156.58413774131847,47.716,53.995285301911636,4.64,5189.392,10213.07279707211
-8.02,7.213573014507833,5.776,3.9836784124341285,116.304,172.04446774855296,49.216,56.64600704475219,4.63,5627.776,11288.070403893986
-8.184,7.203473747716031,5.884,4.039165614190493,118.816,171.20075888804885,50.92,56.880972609872316,4.62,5825.056,11118.34756181733
-8.26,7.32133881213006,5.988,3.9849386112882255,121.776,186.1447385441976,51.72,58.570642135118504,4.61,6102.048,12240.888742689676
-7.772,6.6579534651681325,5.632,3.827169087357288,104.688,150.01829269840448,46.352,52.293505397006115,4.6,4880.384,9740.804483641612
-7.64,7.1611229344064276,5.478,3.9682821551980476,109.6,165.19727037132947,45.74,55.09925887276823,4.59,5125.04,10781.592240928498
-8.296,7.22638253932108,5.844,4.004959887901963,120.992,175.3575724461713,50.176,57.589909025988405,4.58,5830.912,11527.961539557351
-7.692,7.1400361424936865,5.644,4.03702384951607,110.096,166.34840117829378,48.136,56.65297046989737,4.57,5523.424,10979.788840556414
-8.604,7.190471951609774,6.036,4.018812617534545,125.68,181.30646329801277,52.568,58.046660462000666,4.56,6129.44,11887.479531676008
-8.204,7.63784791159923,5.95,4.103942292764646,125.584,190.36083681312235,52.228,60.24092450307336,4.55,6353.104,12670.85114496741
-8.372,7.080660403645394,5.95,3.9911689302044624,120.176,174.87299845770812,51.316,56.73784739772322,4.54,5849.296,11343.489852881536
-7.72,6.846932194821306,5.518,3.9124139585405553,106.432,157.89031232702894,45.74,53.780672743660986,4.53,4981.616,10300.446042439968
-8.828,7.612382305452372,6.16,4.170346723210409,135.824,187.73363295089385,55.32,60.989912029526394,4.52,6776.352,12460.672156617025
-8.536,7.364165596653495,6.102,4.168809779178582,127.04,181.9768831087784,54.596,60.18959687164862,4.51,6599.888,12041.741141761067
-8.508,7.50721614810006,6.134,4.111806288111218,128.688,184.4724932252957,54.516,59.915637588426165,4.5,6558.288,12166.395679118645
-8.432,7.465997396002568,6.052,4.071101800479801,126.784,187.54267140466348,53.184,59.42027358497194,4.49,6355.776,12325.624043507327
-7.74,6.632676110921773,5.72,3.825210089946986,103.856,148.22576747024166,47.336,52.367599424352754,4.48,4980.32,9720.715268071735
-7.952,6.922254951503423,5.48,3.911124761100941,111.104,166.96347500572088,45.312,54.99810403502513,4.47,5074.944,10911.111076594801
-8.08,7.0435226422019275,5.804,3.9528735382262363,114.848,164.70232467015074,49.296,55.721748871489105,4.46,5531.904,10940.335915717245
-8.296,7.390737920330215,5.838,4.106899392805066,123.392,187.57193171038554,50.932,59.239316949747774,4.45,6099.856,12381.252730416192
-7.696,6.894862081515709,5.604,3.8846202226568143,106.72,162.70080870466856,46.48,54.2928108436956,4.44,5105.152,10701.138901195454
-8.944,8.062125145509828,6.218,4.358838776036053,144.928,212.05783017691036,57.644,65.50997497191416,4.43,7610.096,14151.34805516996
-8.548,7.455150922367383,5.998,4.104246683721732,128.592,183.80065347059082,52.804,59.67983970544215,4.42,6346.384,12186.438775892759
-8.74,7.341000632767325,6.086,4.089661273177686,130.224,187.37962789201217,53.748,59.89487366955451,4.41,6472.656,12380.032568942303
-8.852,7.422208915490399,6.078,4.156825134065083,133.392,189.91151813600118,54.204,60.541354788604124,4.4,6599.664,12620.398770888352
-8.512,7.322258631834266,6.164,4.072061601410971,126.016,175.62221643888597,54.56,58.88335630421936,4.39,6440.576,11589.24384492453
-8.652,7.500343402215072,6.038,4.155457113702875,131.056,184.64838989791343,53.708,60.42607091352247,4.38,6532.208,12268.019309999738
-9.412,7.646222643941303,6.276,4.346805576365099,146.992,200.1487533297659,58.264,64.13220129734549,4.37,7503.52,13386.983369427682
-8.4,7.302967433402215,6.064,3.9894636005132083,123.84,181.44098553312384,52.672,58.5628040484574,4.36,6200.512,12026.935839004529
-9.252,7.699076033640127,6.176,4.325243545944174,144.816,205.9368838847091,56.832,64.32011235105901,4.35,7362.816,13727.319666685677
-9.072,7.710659522393026,6.236,4.267377943716085,141.696,204.47385441943712,57.08,63.51431073126487,4.34,7288.16,13549.14516968614
-9.052,7.842116729225267,6.436,4.250643712659527,143.376,197.97799349905011,59.472,63.67114912761691,4.33,7586.88,13219.638039503789
-8.264,7.260786666954417,5.968,4.065403239963226,120.96,169.52047543465534,52.128,57.246106703711575,4.32,5991.168,11156.891880815921
-8.984,7.6410817382181,6.264,4.1899713435607,139.04,192.75254588187406,56.776,61.76066874803253,4.31,7034.08,12799.656983391878
-8.868,7.4976523519559635,6.118,4.133662197514834,134.8,193.491951086176,54.5,60.62475864992257,4.3,6641.936,12696.862520550887
-9.224,7.8037633692163375,6.342,4.278474183788111,145.92,197.78123018885037,58.508,63.153291872033684,4.29,7407.536,13098.005482221952
-9.032,7.4176814435508085,6.24,4.081060530677663,136.544,189.1363651671159,55.576,60.15938310334787,4.28,6704.224,12458.006253877287
-9.436,7.497874506960098,6.422,4.262873219800008,145.2,194.88744730514864,59.396,63.404158154424465,4.27,7543.952,13047.611782503453
-8.96,6.955197680495844,6.242,4.020148952165529,128.608,172.17096496557477,55.108,57.678723730429155,4.26,6360.4,11408.752574901222
-9.28,8.019595620348566,6.284,4.335220656222487,150.368,217.95333498763497,58.264,66.06595957840176,4.25,7755.04,14449.78970022681
-9.132,7.604762219057766,6.226,4.139814254536312,141.168,199.1473611360378,55.884,62.046017215065866,4.24,6968.88,13180.625835027826
-9.096,7.288614951272146,6.238,4.119748575863378,135.808,184.3979548198454,55.868,59.85286075820387,4.23,6700.016,12170.651370017727
-8.964,7.438685235849007,6.166,4.169631857829876,135.632,191.23871161671428,55.388,61.501739161749896,4.22,6846.512,12743.300108037149
-9.468,7.911736318379902,6.322,4.375323926232142,152.176,217.75824134961158,59.092,66.14467971541366,4.21,7862.608,14476.852921711015
-9.38,7.450577904505869,6.378,4.158654879935388,143.44,199.62809866794248,57.956,62.591339175158566,4.2,7272.656,13341.083156230061
-9.112,7.5027826669674855,6.286,4.203316770345992,139.264,196.99630922900522,57.164,62.44742416453047,4.19,7163.504,13162.320825580091
-9.436,7.6981273804195505,6.454,4.218017979534425,148.24,211.0416095488303,59.428,64.5872148673739,4.18,7699.024,14107.345683496158
-9.336,7.614794093676408,6.396,4.1929422563117615,145.088,205.92007024894718,58.472,63.49955440323505,4.17,7447.136,13735.994770158793
