H,std_H,M,std_M,H_2,std_H_2,M_2,std_M_2,T,M_4,std_M_4
-27.456,12.59550359099273,10.804,8.085725877307674,912.32,764.1940395803477,182.04,245.4331269813018,5.0,93315.744,250486.90357416417
-27.548,12.368859473883786,10.538,7.841941854671716,911.728,746.7388572566294,172.484,229.69286570670096,4.99,82456.784,217162.64031068524
-26.976,11.648824795622911,10.608,7.86054222837866,863.264,657.768924670558,174.256,234.84902496823045,4.98,85464.064,237337.27032641525
-27.432,12.519189514745198,10.724,7.945499037502613,909.088,741.4304386463718,178.072,235.49259771716737,4.97,87110.944,241775.7374089727
-26.832,12.645777623052357,10.41,7.844069698149643,879.712,735.2422745315032,169.836,232.47985716613812,4.96,82837.104,238216.20752636762
-27.864,12.745507128080545,11.074,8.127766272758132,938.688,785.8489404543428,188.628,263.9637901275447,4.95,105187.728,352092.4889228424
-27.064,12.117042821032147,10.746,7.996463432507361,879.136,726.2172822544538,179.356,240.62857555863016,4.94,90012.784,250101.78271373827
-28.256,12.708421143791544,11.032,8.200135256092928,959.744,767.887169556289,188.88,255.5334713006399,4.93,100907.712,285538.160389668
-27.972,12.574789912413697,11.026,8.209428647519795,940.4,740.4443218728832,188.9,253.58521933161532,4.92,99924.368,284816.7978708382
-27.668,12.726182920724176,11.062,8.454799798909471,927.312,788.6959769137916,193.78,269.3449578260308,4.91,110024.848,323880.79840144585
-28.168,12.725003013818961,10.616,7.976224931893794,955.2,782.7541734772778,176.256,240.2629158499762,4.9,88734.72,258773.16977661697
-29.212,12.39793389096606,11.464,8.278964020047752,1006.896,779.9616101432796,199.896,255.63366318572707,4.89,105241.632,263552.7067162583
-28.16,12.516991454621795,11.066,7.95404996909819,949.504,753.4425563171154,185.66,238.98185019939223,4.88,91524.848,249939.96240343625
-28.644,12.578691803501966,11.228,8.457632502512007,978.544,783.6810397323876,197.528,267.97158428830846,4.87,110754.272,306030.4221762919
-28.484,12.4849356272917,11.288,8.707748324387932,967.056,780.673298930906,203.168,282.90558026193713,4.86,121232.768,342678.6061083336
